id,resume_id,language,label_seniority,label_quality_score,label_source,reviewed_seniority,reviewed_quality_score,reviewed_notes,text_preview
8bc77fdc-02ca-4cb8-ba3f-e71af779a909,0fd1363c-0764-4076-bbea-209e3a5cd288,pt,senior,80,synthetic,,,,Resumo Profissional com 6 anos de experiência em ciência de dados. Foco em qualidade. Engenheiro Sênior. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 14 pess...
bddea071-10b1-4d4c-b251-6b96e028bae3,b3e641eb-34f0-457e-a280-ee825845913e,pt,intern,80,synthetic,,,,Resumo Profissional com 1 anos de experiência em desenvolvimento de software. Foco em liderança técnica. Estagiário. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equip...
0250fd14-9b8d-48f4-adb9-598073a187df,03c80e37-25e2-4332-b2e6-a43eca4d9b66,pt,intern,80,synthetic,,,,Resumo Profissional com 0 anos de experiência em design. Foco em liderança técnica. Estagiário. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 14 pessoas. • Li...
f2ea4c3b-af76-4d67-a032-4be309fdfdf5,99e059b4-9c66-40d0-9990-f9b117f7f1d3,pt,senior,80,synthetic,,,,Resumo Profissional com 8 anos de experiência em produto. Foco em qualidade. Engenheiro Sênior. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 10 pessoas. • Li...
e1672b19-fd45-4520-9167-498d97378099,78ac01ee-ee6f-42f9-8f94-5be0a41f6384,pt,junior,80,synthetic,,,,Resumo Profissional com 3 anos de experiência em engenharia. Foco em qualidade. Desenvolvedor Júnior. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 10 pessoas...
58932e5a-b914-4631-ab49-79934489307f,df270a39-d6ac-4e23-9c64-26742f1551f8,pt,intern,80,synthetic,,,,Resumo Profissional com 0 anos de experiência em design. Foco em qualidade. Estagiário. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 12 pessoas. • Liderou pr...
991ffb19-90d4-44ac-a03b-c3fe1972cd95,c59f13c9-8dd7-44c4-888d-376eb38b3391,pt,intern,80,synthetic,,,,Resumo Profissional com 1 anos de experiência em produto. Foco em liderança técnica. Estagiário. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 9 pessoas. • Li...
08c525ea-1545-473f-8428-6720a23ff4e3,99b0eea8-f37a-4842-8f5c-1332430befd1,pt,intern,80,synthetic,,,,Resumo Profissional com 0 anos de experiência em desenvolvimento de software. Foco em entrega de valor. Estagiário. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe...
9c802d95-c91e-45fc-b1b4-543c70c1b146,4fabaabf-6574-4fc2-b15e-b9d192f24431,pt,junior,80,synthetic,,,,Resumo Profissional com 2 anos de experiência em ciência de dados. Foco em liderança técnica. Desenvolvedor Júnior. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe...
0b730764-9c97-45a2-925f-3b46ba41727e,b78dc4db-794f-4033-9637-6960b2f3edcc,pt,mid,80,synthetic,,,,Resumo Profissional com 3 anos de experiência em engenharia. Foco em qualidade. Analista Pleno. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 13 pessoas. • Li...
c1c35b9e-e6b5-4ece-a4de-dcd902b472ce,e260e826-d1fe-4d64-b461-37943690177f,pt,mid,80,synthetic,,,,Resumo Profissional com 5 anos de experiência em ciência de dados. Foco em liderança técnica. Analista Pleno. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 13...
0526e79c-3551-4d99-90a2-dd955a185af6,cf99fa38-89b5-4869-b0f2-eacd68ae297f,pt,senior,80,synthetic,,,,Resumo Profissional com 15 anos de experiência em ciência de dados. Foco em qualidade. Engenheiro Sênior. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 15 pes...
2e173f55-c091-4dde-afcb-fcae229a6ae4,cc9f5bc9-4353-4bab-a3bf-bcdcb54e9d65,pt,junior,80,synthetic,,,,Resumo Profissional com 2 anos de experiência em engenharia. Foco em qualidade. Desenvolvedor Júnior. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 15 pessoas...
d3ae763e-079e-447d-9eac-f945e7f63c73,38d44b5e-f3a8-47ec-991d-6512e4a772a3,pt,intern,80,synthetic,,,,Resumo Profissional com 1 anos de experiência em design. Foco em liderança técnica. Estagiário. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 15 pessoas. • Li...
c5b4aa60-efb2-4e8e-8758-785e404d4686,a1287e1e-dc9c-47b4-91a4-f856386319e8,pt,junior,80,synthetic,,,,Resumo Profissional com 1 anos de experiência em engenharia. Foco em liderança técnica. Desenvolvedor Júnior. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 10...
ecb6dac9-c656-4219-8066-cc87ff3c02ac,abb1b331-7202-4f91-b25d-dd74ff7d6445,pt,mid,80,synthetic,,,,Resumo Profissional com 6 anos de experiência em ciência de dados. Foco em liderança técnica. Analista Pleno. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 13...
0ab5df46-17ba-44e8-9bc7-62f308178fb0,6229b852-7665-4872-bfda-316f27b558b6,pt,mid,80,synthetic,,,,Resumo Profissional com 6 anos de experiência em desenvolvimento de software. Foco em entrega de valor. Analista Pleno. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou eq...
527b15b7-8ad0-4773-8b75-a78198deaef6,a96f887e-9916-4c69-8baf-345f231c8dde,pt,junior,80,synthetic,,,,Resumo Profissional com 3 anos de experiência em design. Foco em liderança técnica. Desenvolvedor Júnior. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 14 pes...
ba966efe-8fc3-414e-a2dc-86c8e7c1611a,f1a80e62-7a29-404e-9b03-487a2efa05a7,pt,senior,80,synthetic,,,,Resumo Profissional com 8 anos de experiência em design. Foco em liderança técnica. Engenheiro Sênior. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 5 pessoas...
6d7453b7-63ca-4023-8674-3f16a812299b,c782a78f-f4be-4eb0-ac00-e15aaa1de3ab,pt,mid,80,synthetic,,,,Resumo Profissional com 6 anos de experiência em ciência de dados. Foco em entrega de valor. Analista Pleno. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 11 ...
e795c615-b2d7-4ac0-a87b-ef19670c5875,ecfbeb84-2d6e-4827-89c9-80f234a7edc8,pt,senior,80,synthetic,,,,Resumo Profissional com 12 anos de experiência em design. Foco em liderança técnica. Engenheiro Sênior. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 4 pessoa...
a9c24dab-f386-49c4-97e0-a1aedee5d2f8,9fbe8349-9963-423e-befa-b5ca18d3875e,pt,mid,80,synthetic,,,,Resumo Profissional com 6 anos de experiência em ciência de dados. Foco em entrega de valor. Analista Pleno. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 15 ...
c6f42524-4369-40be-9842-df8e4a1bfaff,347c9076-6ed3-4d5c-bf5a-b2ea78490f91,pt,junior,80,synthetic,,,,Resumo Profissional com 2 anos de experiência em ciência de dados. Foco em qualidade. Desenvolvedor Júnior. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 6 pe...
e80c8413-f38e-4332-b4c3-201422f2c117,32c51330-1331-492a-9777-8072b1c7c20f,pt,mid,80,synthetic,,,,Resumo Profissional com 5 anos de experiência em desenvolvimento de software. Foco em qualidade. Analista Pleno. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de...
84f07f63-ef73-4e83-a0ab-2a5473e4f671,06e2e76a-6337-4de2-b311-ec3017ea172b,pt,mid,80,synthetic,,,,Resumo Profissional com 3 anos de experiência em produto. Foco em qualidade. Analista Pleno. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 9 pessoas. • Lidero...
13711e33-6790-40e2-8806-63ccd485a6ef,322e8278-c381-4c35-9b81-705490fbbb41,pt,senior,80,synthetic,,,,Resumo Profissional com 11 anos de experiência em engenharia. Foco em entrega de valor. Engenheiro Sênior. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 10 pe...
9717e3d2-e0a6-4de2-b028-c73a8973ae66,a95abc33-5b87-45a0-9894-84a4c8e94f26,pt,mid,80,synthetic,,,,Resumo Profissional com 6 anos de experiência em design. Foco em entrega de valor. Analista Pleno. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 14 pessoas. •...
ae6a257a-f9c1-4d2b-9197-c292f103d643,ca604e7a-b910-4c6a-a660-d4e72dc486ac,pt,mid,80,synthetic,,,,Resumo Profissional com 3 anos de experiência em design. Foco em entrega de valor. Analista Pleno. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 15 pessoas. •...
9a034e1b-193a-4e50-a2bf-74358b7e5a51,3f33218d-07c2-403f-97f5-53d359eb03f9,pt,junior,80,synthetic,,,,Resumo Profissional com 1 anos de experiência em engenharia. Foco em qualidade. Desenvolvedor Júnior. Experiência Profissional • Desenvolveu e manteve sistemas críticos; coordenou equipe de 11 pessoas...
